StartDate,EndDate,Duration__in_seconds_,Finished,agecat,female,educ,white,black,hispanic,sthasian,othasian,arab,other,marriage,kids,cvbless,cvself,cvother,cvconseq,cvexagg,cvmanmade,cvpunish,cvwakeup,cvtest,cvaction,signdoj,chinapunish,stillpunish,cvunfold,ui1,ui2,ui3,feardeath,disrupt,miss1,miss2,miss3,miss4,miss5,miss6,miss7,comfself,comfkids,comfspou,comfold,pray,quranread,grateful,livefam,fam_conc,si_conc,rquran_cope,lquran_cope,dua_cope,forgive_cope,pray_cope,lecture_cope,breathe_cope,exercise_cope,walk_cope,famtime_cope,famphone_cope,donate_cope,buy_cope,entertain_cope,eat_cope,donate,anxious,nervous,calm,chknews,mas_fri,mas_5x,mas_close,mas_trust,gia_approve,gia_bad,gia_trouble,connect,ti_punish,ti_endtim,ti_mankid,ti_manmar,ti_stress,ti_isleth,ti_fam,ti_worship,ti_trials,ti_parntng,ti_grateful,ti_calm,ti_epidem,ti_uncertnty,ti_famcon,word_w,word_h,tpsent,tpsentscore,word_hsent,word_hsentscore,word_hsentpol,cope_relig,cope_social,cope_neg,ui,uintol,rcalm,mhealth,cvfear,outlook_pos,outlook_neg,married,pray5
13803767501,13803768152,651,1. True,3. 25 - 34,Female,5. Master's degree,No,No,No,Yes,No,No,No,,,5. A great deal,3. Somewhat concerned,4. Quite concerned,5. Extremely concerned,1. Not at all exaggerated,,1. None at all,5. A great deal,3. A moderate amount,2. A little,2. A little,2. A little,1. None at all,5. I really have no idea,3. Neither agree nor disagree,1. Strongly disagree,4. Somewhat agree,4. Quite afraid,1. Not at all upset,4. 4,5. 5,2. 2,1. 1,6. 6,3. 3,7. 7,,,,,5. 5 + sunnahs,3. At least once a week,,,5. Extremely positive,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Quite likely,2. Sometimes,2. Sometimes,4. Most of the time,5. Always,1. Extremely unreasonable,1. Extremely unreasonable,1. Yes,5. A great deal,5. Strongly agree,1. Strongly disagree,1. Strongly disagree,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Isolation,Connectivity,Negative,-1,Neutral,0,0,5,2,0,2.6666667,2.3333333,1,1.6666666,4,No,No,No,Yes
13803769141,13803769838,697,1. True,3. 25 - 34,Female,4. Bachelor's degree,No,No,No,No,No,Yes,No,,,2. A little,3. Somewhat concerned,4. Quite concerned,5. Extremely concerned,1. Not at all exaggerated,,3. A moderate amount,5. A great deal,5. A great deal,4. A lot,5. A great deal,3. A moderate amount,2. A little,"3. Things will be bad, as lots of people will suffer from the consequences of the virus.",4. Somewhat agree,4. Somewhat agree,5. Strongly agree,4. Quite afraid,3. Somewhat upset,3. 3,2. 2,4. 4,1. 1,5. 5,6. 6,7. 7,,,,,3. 3 to 4,3. At least once a week,,,4. Somewhat positive,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Quite likely,2. Sometimes,3. About half the time,3. About half the time,5. Always,1. Extremely unreasonable,1. Extremely unreasonable,1. Yes,5. A great deal,4. Somewhat agree,2. Somewhat disagree,2. Somewhat disagree,,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,"Financial reprecussions and societial chaos (riots, etc) due to greed and selfishness","There are still many people trying to help those impacted most by this crisis and it gives me hope to see that there is still good in the world, even during challenging times.",Negative,-1,Positive,3,1,3,2,1,4.3333335,0.66666651,2,2.3333333,4,No,Yes,No,No
13803777696,13803778395,698,1. True,5. 45 - 54,Male,"6. Doctoral degree (PhD) or Professional degree (JD, MD)",No,No,No,No,No,Yes,No,2. Married,Yes,4. A lot,2. A little concerned,3. Somewhat concerned,4. Quite concerned,3. Somewhat exaggerated,Probably not,3. A moderate amount,4. A lot,4. A lot,4. A lot,1. None at all,2. A little,1. None at all,"2. Despite the many ordeals people will face, things will turn out alright with many positive outcomes",1. Strongly disagree,3. Neither agree nor disagree,4. Somewhat agree,2. A little afraid,1. Not at all upset,5. 5,4. 4,1. 1,2. 2,3. 3,6. 6,7. 7,Extremely comfortable,Extremely comfortable,Somewhat uncomfortable,,5. 5 + sunnahs,5. Daily,Sometimes,Yes,3. Neither positive nor negative,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Somewhat likely,2. Sometimes,2. Sometimes,4. Most of the time,2. Sometimes,1. Extremely unreasonable,3. Neutral,3. Not sure,5. A great deal,5. Strongly agree,1. Strongly disagree,1. Strongly disagree,,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,My own steadfastness and akhlaq,Waking up society and myself,,,Neutral,0,0,3,0,0,2.6666667,2.3333333,1,1.6666666,3,Yes,No,Yes,Yes
13803810889,13803811511,621,1. True,3. 25 - 34,Female,5. Master's degree,No,No,No,No,No,Yes,No,2. Married,No,4. A lot,3. Somewhat concerned,4. Quite concerned,4. Quite concerned,3. Somewhat exaggerated,Probably yes,5. A great deal,5. A great deal,5. A great deal,5. A great deal,4. A lot,4. A lot,4. A lot,"3. Things will be bad, as lots of people will suffer from the consequences of the virus.",3. Neither agree nor disagree,2. Somewhat disagree,4. Somewhat agree,3. Somewhat afraid,1. Not at all upset,3. 3,2. 2,4. 4,1. 1,5. 5,6. 6,7. 7,Extremely comfortable,,Somewhat comfortable,,4. 5,3. At least once a week,Quite often,No,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Extreme likely,4. Most of the time,4. Most of the time,2. Sometimes,5. Always,1. Extremely unreasonable,2. Somewhat unreasonable,3. Not sure,3. A moderate amount,3. Neither agree nor disagree,2. Somewhat disagree,1. Strongly disagree,Somewhat better,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Economy,Society,,,Positive,1,0,4,2,2,3,2,3,3.6666667,3.6666667,No,Yes,Yes,Yes
13803816349,13803816744,394,1. True,2. 18 - 24,Male,2. High school graduate (high school diploma or equivalent including GED),No,Yes,No,No,No,No,No,1. Single,No,3. A moderate amount,2. A little concerned,4. Quite concerned,3. Somewhat concerned,3. Somewhat exaggerated,Definitely not,2. A little,4. A lot,4. A lot,3. A moderate amount,2. A little,2. A little,2. A little,"2. Despite the many ordeals people will face, things will turn out alright with many positive outcomes",3. Neither agree nor disagree,2. Somewhat disagree,2. Somewhat disagree,2. A little afraid,4. Quite upset,5. 5,6. 6,3. 3,1. 1,7. 7,4. 4,2. 2,Somewhat comfortable,,,,4. 5,3. At least once a week,Very often,No,,,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,A little likely,3. About half the time,2. Sometimes,3. About half the time,2. Sometimes,2. Somewhat unreasonable,3. Neutral,3. Not sure,3. A moderate amount,5. Strongly agree,2. Somewhat disagree,2. Somewhat disagree,Somewhat better,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,,,,,,2,2,0,2.3333333,2.6666667,2,2.3333333,3,Yes,No,No,Yes
13803816379,13803816836,456,1. True,2. 18 - 24,Male,4. Bachelor's degree,No,No,No,No,No,Yes,No,1. Single,No,3. A moderate amount,2. A little concerned,3. Somewhat concerned,1. Not at all concerned,1. Not at all exaggerated,Probably not,2. A little,3. A moderate amount,3. A moderate amount,3. A moderate amount,1. None at all,1. None at all,3. A moderate amount,"3. Things will be bad, as lots of people will suffer from the consequences of the virus.",4. Somewhat agree,2. Somewhat disagree,2. Somewhat disagree,2. A little afraid,2. A little upset,2. 2,6. 6,5. 5,1. 1,3. 3,4. 4,7. 7,Somewhat comfortable,,,Somewhat uncomfortable,5. 5 + sunnahs,3. At least once a week,Sometimes,Yes,2. Somewhat negative,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Quite likely,2. Sometimes,2. Sometimes,4. Most of the time,4. Most of the time,2. Somewhat unreasonable,2. Somewhat unreasonable,1. Yes,2. A little,4. Somewhat agree,2. Somewhat disagree,3. Neither agree nor disagree,About the same,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Death of family,Benefits to society,Positive,1,Positive,6,0,2,0,0,2.6666667,2.3333333,1,1.6666666,2,No,Yes,No,Yes
13803816367,13803816843,476,1. True,2. 18 - 24,Male,3. Some college but no degree,No,No,No,Yes,No,No,No,1. Single,No,2. A little,5. Extremely concerned,5. Extremely concerned,4. Quite concerned,2. A little exaggerated,Definitely not,,,5. A great deal,,,3. A moderate amount,3. A moderate amount,"3. Things will be bad, as lots of people will suffer from the consequences of the virus.",5. Strongly agree,2. Somewhat disagree,5. Strongly agree,2. A little afraid,2. A little upset,7. 7,4. 4,1. 1,2. 2,3. 3,6. 6,5. 5,Somewhat uncomfortable,,,,4. 5,5. Daily,Rarely,Yes,4. Somewhat positive,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Extreme likely,4. Most of the time,4. Most of the time,2. Sometimes,5. Always,1. Extremely unreasonable,1. Extremely unreasonable,1. Yes,2. A little,4. Somewhat agree,1. Strongly disagree,1. Strongly disagree,Somewhat better,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Infection,Experience,Neutral,0,Positive,1,0,4,1,2,4,1,3,3.6666667,4.6666665,No,Yes,No,Yes
13803816521,13803816870,348,1. True,4. 35 - 44,Male,5. Master's degree,Yes,No,No,No,No,No,No,2. Married,Yes,5. A great deal,2. A little concerned,3. Somewhat concerned,1. Not at all concerned,1. Not at all exaggerated,Definitely not,2. A little,3. A moderate amount,3. A moderate amount,4. A lot,1. None at all,3. A moderate amount,3. A moderate amount,"2. Despite the many ordeals people will face, things will turn out alright with many positive outcomes",2. Somewhat disagree,2. Somewhat disagree,2. Somewhat disagree,1. Not afraid at all,1. Not at all upset,1. 1,3. 3,2. 2,4. 4,5. 5,6. 6,7. 7,Extremely comfortable,Neutral,Neutral,,4. 5,1. Hardly ever,Quite often,Yes,4. Somewhat positive,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,A little likely,2. Sometimes,1. Never,4. Most of the time,4. Most of the time,1. Extremely unreasonable,1. Extremely unreasonable,1. Yes,5. A great deal,5. Strongly agree,1. Strongly disagree,1. Strongly disagree,About the same,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,My job,,,,,,,0,1,0,2,3,1,1.3333334,2,Yes,No,Yes,Yes
13803816428,13803816904,475,1. True,2. 18 - 24,Male,4. Bachelor's degree,No,No,No,Yes,No,No,No,1. Single,No,2. A little,4. Quite concerned,3. Somewhat concerned,4. Quite concerned,2. A little exaggerated,Definitely not,2. A little,3. A moderate amount,4. A lot,2. A little,3. A moderate amount,2. A little,1. None at all,"3. Things will be bad, as lots of people will suffer from the consequences of the virus.",4. Somewhat agree,4. Somewhat agree,5. Strongly agree,3. Somewhat afraid,3. Somewhat upset,3. 3,6. 6,2. 2,1. 1,4. 4,7. 7,5. 5,Neutral,,,,5. 5 + sunnahs,5. Daily,Rarely,No,,,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Quite likely,4. Most of the time,4. Most of the time,2. Sometimes,5. Always,1. Extremely unreasonable,2. Somewhat unreasonable,1. Yes,3. A moderate amount,4. Somewhat agree,1. Strongly disagree,1. Strongly disagree,Somewhat worse,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,restrictions,awareness of death,Negative,-1,Negative,-7,0,4,0,2,4.3333335,0.66666651,3,3.6666667,3.6666667,No,Yes,No,Yes
13803816361,13803817038,676,1. True,4. 35 - 44,Female,2. High school graduate (high school diploma or equivalent including GED),Yes,No,No,No,No,No,No,1. Single,No,2. A little,4. Quite concerned,4. Quite concerned,4. Quite concerned,5. Extremely exaggerated,Probably not,1. None at all,1. None at all,2. A little,4. A lot,1. None at all,1. None at all,1. None at all,"3. Things will be bad, as lots of people will suffer from the consequences of the virus.",4. Somewhat agree,4. Somewhat agree,4. Somewhat agree,2. A little afraid,1. Not at all upset,2. 2,6. 6,5. 5,4. 4,3. 3,1. 1,7. 7,Somewhat comfortable,,,,1. 0,1. Hardly ever,Sometimes,No,,,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Somewhat likely,2. Sometimes,2. Sometimes,4. Most of the time,3. About half the time,1. Extremely unreasonable,1. Extremely unreasonable,1. Yes,3. A moderate amount,4. Somewhat agree,2. Somewhat disagree,2. Somewhat disagree,About the same,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Loss,Empathy,,,Neutral,0,0,2,1,2,4,1,1,1.6666666,4,No,Yes,No,No
